"Site","Season","Species","Total_Calls","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat_5","Lux_cat_1","Builtup_cat"
"RUSH2","winter","PITE",0,38,45,24,17,14.8,"High","High","built-up"
"RUSH2","winter","Taph.",0,38,45,24,17,14.8,"High","High","built-up"
"RUSH2","winter","Tad.aeg/Mop.plic",1,38,45,24,17,14.8,"High","High","built-up"
"SAGA2","non-winter","PICE",39,90,10,3.333333333,0,86,"Low","High","zero built-up"
"SAGA2","non-winter","PITE",63,90,10,3.333333333,0,86,"Low","High","zero built-up"
"SAGA2","non-winter","Taph.",1,90,10,3.333333333,0,86,"Low","High","zero built-up"
"SAGA2","non-winter","Tad.aeg/Mop.plic",0,90,10,3.333333333,0,86,"Low","High","zero built-up"
"SAGA2","winter","PICE",59,82.5,0,0,0,31,"Low","Low","zero built-up"
"SAGA2","winter","PITE",23,82.5,0,0,0,31,"Low","Low","zero built-up"
"SAGA2","winter","Taph.",7,82.5,0,0,0,31,"Low","Low","zero built-up"
"SAGA2","winter","Tad.aeg/Mop.plic",0,82.5,0,0,0,31,"Low","Low","zero built-up"
"SARO1","non-winter","PICE",4,40,60,26,0,0.3,"High","High","zero built-up"
"SARO1","non-winter","PITE",49,40,60,26,0,0.3,"High","High","zero built-up"
"SARO1","non-winter","Taph.",1,40,60,26,0,0.3,"High","High","zero built-up"
"SARO1","non-winter","Tad.aeg/Mop.plic",0,40,60,26,0,0.3,"High","High","zero built-up"
"SARO1","winter","PICE",5,60,40,42.13,0,45.3,"High","High","zero built-up"
"SARO1","winter","PITE",4,60,40,42.13,0,45.3,"High","High","zero built-up"
"SARO1","winter","Taph.",0,60,40,42.13,0,45.3,"High","High","zero built-up"
"SARO1","winter","Tad.aeg/Mop.plic",0,60,40,42.13,0,45.3,"High","High","zero built-up"
"SARO2","non-winter","PICE",0,70,30,14,0,0.3,"High","High","zero built-up"
"SARO2","non-winter","PITE",25,70,30,14,0,0.3,"High","High","zero built-up"
"SARO2","non-winter","Taph.",0,70,30,14,0,0.3,"High","High","zero built-up"
"SARO2","non-winter","Tad.aeg/Mop.plic",0,70,30,14,0,0.3,"High","High","zero built-up"
"SARO2","winter","PICE",0,70,30,16.93,0,45.3,"High","High","zero built-up"
"SARO2","winter","PITE",36,70,30,16.93,0,45.3,"High","High","zero built-up"
"SARO2","winter","Taph.",0,70,30,16.93,0,45.3,"High","High","zero built-up"
"SARO2","winter","Tad.aeg/Mop.plic",0,70,30,16.93,0,45.3,"High","High","zero built-up"
"TEPA1","non-winter","PICE",29,60,40,47,0,32.2,"High","High","zero built-up"
"TEPA1","non-winter","PITE",26,60,40,47,0,32.2,"High","High","zero built-up"
"TEPA1","non-winter","Taph.",0,60,40,47,0,32.2,"High","High","zero built-up"
"TEPA1","non-winter","Tad.aeg/Mop.plic",0,60,40,47,0,32.2,"High","High","zero built-up"
"TEPA1","winter","PICE",79,60,40,11.46,0,55.1,"High","High","zero built-up"
"TEPA1","winter","PITE",74,60,40,11.46,0,55.1,"High","High","zero built-up"
"TEPA1","winter","Taph.",1,60,40,11.46,0,55.1,"High","High","zero built-up"
"TEPA1","winter","Tad.aeg/Mop.plic",0,60,40,11.46,0,55.1,"High","High","zero built-up"
"VVRO1","non-winter","PICE",30,77,23,22,0,11.5,"High","High","zero built-up"
"VVRO1","non-winter","PITE",5,77,23,22,0,11.5,"High","High","zero built-up"
"VVRO1","non-winter","Taph.",13,77,23,22,0,11.5,"High","High","zero built-up"
"VVRO1","non-winter","Tad.aeg/Mop.plic",1,77,23,22,0,11.5,"High","High","zero built-up"
"VVRO1","winter","PICE",4,77,23,29.43,0,55.1,"High","High","zero built-up"
"VVRO1","winter","PITE",15,77,23,29.43,0,55.1,"High","High","zero built-up"
"VVRO1","winter","Taph.",19,77,23,29.43,0,55.1,"High","High","zero built-up"
"VVRO1","winter","Tad.aeg/Mop.plic",0,77,23,29.43,0,55.1,"High","High","zero built-up"
