"Site","Season","PICE","PITE","Taph.","Tad.aeg/Mop.plic","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat","Builtup_cat"
"ENMA3","winter",1,66,0,0,80,20,14.56,0,99.9,"High","zero built-up"
"ENMA4","winter",4,190,48,0,62.14,8.43,0,0,12.9,"Low","zero built-up"
"GITA1","winter",1,115,1,0,60,0,56.7,30,26.8,"High","built-up"
"GITA2","winter",1,0,0,0,90,0,29.33,10,26.8,"High","built-up"
"HILL4","winter",31,20,2,0,45,55,0,0,14.8,"Low","zero built-up"
"ITHI1","winter",7,11,0,0,92,0,0,0,21.1,"Low","zero built-up"
"JEWL1","winter",19,11,1,15,100,0,0,0,21.1,"Low","zero built-up"
"LACO1","winter",8,104,0,0,90,0,0.6,0,45.3,"Low","zero built-up"
"LACO3","winter",1,0,0,0,62,38,9.33,0,99.9,"High","zero built-up"
"MITH1","winter",2,6,0,0,46.14,23.86,1.5,30,98,"Low","built-up"
"MITH3","winter",0,16,3,0,49.25,8.28,21.6,32.46,98,"High","built-up"
"MITH4","winter",2,28,3,0,53.63,26.12,5.76,20.25,98,"High","built-up"
"MITH5","winter",14,12,0,1,38.83,27.02,0.9,34.15,98,"Low","built-up"
"MITH7","winter",1,76,0,0,0,21.67,15.26,44.51,98,"High","built-up"
"PANO1","winter",0,1,0,0,0,0,55.4,100,99.9,"High","built-up"
"PANO2","winter",0,414,0,0,25,0,3.73,75,99.9,"Low","built-up"
"PANO3","winter",2,2,1,0,0,68,44,32,14.8,"High","built-up"
"PERU3","winter",3,17,2,0,20,40,1,0,14.8,"Low","zero built-up"
"POPA1","winter",8,59,43,0,0,0,14,44.6,80,"High","built-up"
"POPA4","winter",6,60,2,0,0,18,6,40,80,"High","built-up"
"RADI2","winter",2,1,1,0,55.24,44.76,5.06,0,55.1,"High","zero built-up"
"RADI3","winter",6,18,1,0,60,40,13.06,0,55.1,"High","zero built-up"
"RUBE1","winter",5,16,10,2,75,25,0,0,41.6,"Low","zero built-up"
"RUBE2","winter",8,0,8,0,15,25,42,0,41.6,"High","zero built-up"
"RUGR1","winter",95,40,1,3,0,0,0,0,14.8,"Low","zero built-up"
"RUSH1","winter",78,80,9,2,12,0,0,0,14.8,"Low","zero built-up"
"RUSH2","winter",6,0,0,1,38,45,24,17,14.8,"High","built-up"
"SAGA2","winter",59,23,7,0,82.5,0,0,0,31,"Low","zero built-up"
"SARO1","winter",5,4,0,0,60,40,42.13,0,45.3,"High","zero built-up"
"SARO2","winter",0,36,0,0,70,30,16.93,0,45.3,"High","zero built-up"
"TEPA1","winter",79,74,1,0,60,40,11.46,0,55.1,"High","zero built-up"
"VVRO1","winter",4,15,19,0,77,23,29.43,0,55.1,"High","zero built-up"
